RANK,PLAYER NAME,TEAM,MATCHES,ASSISTS
1,OLIVIER GIROUD,FRANCE,7,2
2,EDEN HAZARD,BELGIUM,6,2
3,PHILIPPE COUTINHO CORREIA,BRAZIL,5,2
4,EVER BANEGA,ARGENTINA,3,2
5,LIONEL MESSI,ARGENTINA,4,2
6,JUAN QUINTERO PANIAGUA,COLOMBIA,4,2
7,JAMES RODRIGUEZ RUBIO,COLOMBIA,3,2
8,KEVIN DE BRUYNE,BELGIUM,6,2
9,ANTOINE GRIEZMANN,FRANCE,7,2
10,ARTEM DZYUBA,RUSSIA,5,2
11,LUCAS HERNANDEZ,FRANCE,7,2
12,THOMAS MEUNIER,BELGIUM,5,2
13,VIKTOR CLAESSON,SWEDEN,5,2
14,WAHBI KHAZRI,TUNISIA,3,2
15,YOURI TIELEMANS,BELGIUM,4,2
16,ALEKSANDR GOLOVIN,RUSSIA,4,2
17,CARLOS SANCHEZ,URUGUAY,3,2
18,ROMELU LUKAKU,BELGIUM,6,1
19,VICTOR MOSES,NIGERIA,3,1
20,KENNETH OMERUO,NIGERIA,2,1
21,RAHEEM STERLING,ENGLAND,6,1
22,LUIS SUAREZ,URUGUAY,5,1
23,CHICHARITO HERNANDEZ BALCAZAR,MEXICO,4,1
24,SHINJI KAGAWA,JAPAN,3,1
25,JESSE LINGARD,ENGLAND,6,1
